No;Nama Produk;Kategori;Quantity (g or mL);Sugar /100 g;Natrium /100 g;Kandungan Gula (g);Kandungan Natrium (mg);Sugar Level;Natrium Level;Persen Gula Harian;Persen Natrium Harian;Senyawa Utama;Bahaya Berlebih
20;French Fries 2000;Snack Asin;62.00;0.00;0.13;0.00;77.50;AMAN;AMAN;0.00;3.88;Amilum, Natrium (Saus/Bumbu);Dapat menyebabkan gangguan metabolisme tubuh dalam mengatur keseimbangan garam dalam tubuh hingga memicu penimbunan garam yang merusak pembuluh darah
21;Garuda Rosta Kacang Panggang;Snack Asin;90.00;12.00;1.40;10.80;1260.00;WASPADA;GAWAT;21.60;63.00;Protein Nabati, Lipida, Natrium;Dapat menyebabkan penumpukan lemak berlebih yang memicu obesitas serta peningkatan tekanan darah 
22;Cheetos Puffs;Snack Asin;39.00;5.13;1.79;2.00;700.00;AMAN;GAWAT;4.00;35.00;Natrium, MSG, Lemak Jenuh;Dapat menyebabkan tekanan darah tinggi serta memicu kadar air dan garam berlebih dalam tubuh
23;Sukro Oven Bawang;Snack Asin;100.00;12.00;0.32;12.00;320.00;WASPADA;WASPADA;24.00;16.00;Amilum (Tapioka), Natrium;Dapat menyebabkan lonjakan gula darah yang abnormal, penimbunan lemak yang memicu obesitas, serta tekanan menyebabkan tekanan darah tinggi
24;Coca-Cola;Minuman;450.00;10.60;0.00;47.70;0.00;GAWAT;AMAN;95.40;0.00;High-Fructose Corn Syrup (HFCS/Gula Cair), Asam Fosfat;Dapat merusak lapisan mukosa lambung, menghambat hambatan penyerapan kalsium yang memicu osteoporosis, serta menyebabkan diabetes melitus tipe 2
25;Teh Kotak;Minuman;300.00;13.00;0.01;39.00;22.50;GAWAT;AMAN;78.00;1.13;Sukrosa (Gula Tambahan Cair);Dapat menyebabkan penumpukan lemak dalam sel organ tubuh serta memicu penyakit sirosis hati
26;Pocari Sweat;Minuman;500.00;5.60;0.05;28.00;240.00;GAWAT;WASPADA;56.00;12.00;Natrium (Elektrolit), Sukrosa;Dapat menyebabkan kondisi kelebihan garam dalam tubuh sehingga memperberat kerja ginjal untuk membuang tumpukan berlebih
27;Ultra Milk Chocolate;Minuman;1000.00;4.00;0.02;40.00;220.00;GAWAT;WASPADA;80.00;11.00;Gula Tambahan, Lemak Jenuh Susu;Dapat menyebabkan peningkatan asupan kalori secara mendadak tanpa membuat tubuh merasa kenyang
28;Olatte;Minuman;240.00;6.67;0.00;16.01;0.00;GAWAT;AMAN;32.02;0.00;Gula Tambahan, Karbohidrat Cair;Dapat meningkatkan kadar lemak yang mengapung dalam darah hingga memicu penyakit serangan jantung serta diabetes
29;Bear Brand;Minuman;189.00;4.76;0.02;9.00;37.80;WASPADA;AMAN;17.99;1.89;Lemak Jenuh (Lipid Susu);Dapat menyebabkan penimbunan lemak berlebih serta meningkatkan kadar kolesterol
30;Buavita Jambu;Minuman;245.00;23.00;0.07;56.35;159.25;GAWAT;WASPADA;112.70;7.96;Fruktosa, Sukrosa (Gula Tambahan);Dapat menyebabkan penumpukan lemak dalam organ hati, memicu resistensi insulin, serta penggemukan tubuh
31;Cimory Marie Biscuits;Minuman;250.00;12.00;0.02;30.00;56.00;GAWAT;AMAN;60.00;2.80;Amilum (Tepung), Gula, Lemak Jenuh;Dapat menyebabkan penumpukan lemak berlebih yang memicu obesitas serta peningkatan kadar gula darah dengan cepat
32;Ultra Milk Fullcream;Minuman;125.00;4.00;0.02;5.00;25.00;WASPADA;AMAN;10.00;1.25;Lipid Susu (Lemak Jenuh), Laktosa;Dapat menyebabkan penimbunan lemak jahat berlebih dan meningkatkan kadar kolesterol
33;Floridina Orange;Minuman;350.00;10.85;0.01;37.98;19.95;GAWAT;AMAN;75.95;1.00;High-Fructose Corn Syrup (HFCS), Asam Sitrat;Dapat menyebabkan gigi menjadi keropos, tipis, dan mudah berlebih serta meningkatan kadar gula darah yang memicu penyakit diabetes
34;Teh Pucuk;Minuman;350.00;18.00;0.01;63.00;35.00;GAWAT;AMAN;126.00;1.75;Sukrosa (Gula pasir);Dapat meningkatan lonjakan kadar glukosa dalam darah dengan cepat, memicu penumpukan kalori dan obesitas 
35;Fruit Tea Apple;Minuman;200.00;6.00;0.03;12.00;50.00;WASPADA;AMAN;24.00;2.50;Sukrosa, Perisa Sintetik, Asam Sitrat;Dapat menyebabkan kerusakan gigi, meningkatkan kadar gula darah secara drastis hingga memicu risiko diabetes
36;Dancow Coklat;Minuman;110.00;9.09;0.07;10.00;75.00;WASPADA;AMAN;20.00;3.75;Sukrosa, Maltodextrin, Lemak Jenuh Susu;Dapat menyebabkan pelonjakan kadar gula darah secara drastis, memicu resistensi insulin dan risiko diabetes, serta penumpukan lemak yang membuat obesitas
37;Redbull Gold;Minuman;250.00;11.00;0.10;27.50;243.75;GAWAT;WASPADA;55.00;12.19;Kafein, Taurin, Sukrosa;Dapat menyebabkan jantung berdebar, insomnia, dan cemas berlebih, serta meningkatkan tekanan darah
38;Teh Gelas - cup;Minuman;160.00;5.63;0.01;9.00;10.00;WASPADA;AMAN;18.00;0.50;Sukrosa, Senyawa Tanin (Polifenol Teh);Dapat menghambat penyerapan zat besi, meningkatkan lonjakan gula darah, serta memicu risiko diabetes
